subway_line_used_most_often,use_of_subway_frequency,average_length_subway_ride,overall_satisfaction,frequency_of_delays,approximate_delay_duration,alternative_transport,frequency_of_rerouting,most_common_reason_for_delay,is_subway_affordable,opinion_on_increased_fares,submitted_at,collection_method,complaint_1,complaint_2,complaint_3
4,"Weekdays, Mon - Fri",20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,Signal malfunction,False,Positive,01/09/2019 @ 12:11 PM,online,Delays,Frequent route changes,High fares
R,Everyday / Almost everyday,60 - 90 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,Train traffic,False,Negative,01/09/2019 @ 12:12 PM,online,Frequent route changes,High fares,Lack of handicap access
3,"More than once a week, varies",20 - 40 min,Very satisfied,Rarely,5 - 10 min,,Almost never,Waiting for signal change,True,Other / No thoughts,01/09/2019 @ 12:13 PM,online,,,
1,"More than once a week, varies",20 - 40 min,Not satisfied,,5 - 10 min,For-hire vehicle,All the time,No reason is given,True,Other / No thoughts,01/09/2019 @ 12:13 PM,online,Crime / Safety,Customer service,Station infrastructure
Q,"More than once a week, varies",< 20 min,Not satisfied,Rarely,5 - 10 min,For-hire vehicle,Almost never,Train traffic,False,Positive,01/09/2019 @ 12:13 PM,online,Frequent route changes,Customer service,Overcrowded trains
D,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,Signal malfunction,False,Positive,01/09/2019 @ 12:14 PM,online,Delays,Frequent route changes,Old trains
2,Everyday / Almost everyday,60 - 90 min,Highly unsatisfied,A few times a week,20 - 45 min,Use another train,All the time,Sick passenger,False,Positive,01/09/2019 @ 12:14 PM,online,Frequent route changes,High fares,Crime / Safety
F,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Use another train,Only on weekends,Signal malfunction,False,Positive,01/09/2019 @ 12:14 PM,online,Delays,Frequent route changes,Lack of handicap access
4,"Weekdays, Mon - Fri",< 20 min,Not satisfied,A few times a week,5 - 10 min,For-hire vehicle,Almost never,Train traffic,True,Neutral,01/09/2019 @ 12:15 PM,online,Delays,Station infrastructure,Overcrowded trains
B,"Weekdays, Mon - Fri",< 20 min,Somewhat satisfied,A few times a week,20 - 45 min,Wait for next train,Only on weekends,No reason is given,True,Negative,01/09/2019 @ 12:15 PM,online,Frequent route changes,Overcrowded trains,Lack of handicap access
E,Almost never,60 - 90 min,Highly unsatisfied,Everyday,20 - 45 min,Wait for next train,Only on weekends,Waiting for signal change,False,Negative,01/09/2019 @ 12:15 PM,online,Crime / Safety,Customer service,Overcrowded trains
6,"More than once a week, varies",20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,No reason is given,False,Positive,01/09/2019 @ 12:15 PM,online,Delays,Frequent route changes,Overcrowded trains
6,Everyday / Almost everyday,20 - 40 min,Highly unsatisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,Train traffic,False,Negative,01/09/2019 @ 12:16 PM,online,High fares,Station infrastructure,Overcrowded trains
6,~5 days per week,< 20 min,Somewhat satisfied,Rarely,5 - 10 min,Take a bus,Only on weekends,Train traffic,True,Positive,01/09/2019 @ 12:16 PM,online,Delays,Customer service,Overcrowded trains
E,Everyday / Almost everyday,60 - 90 min,Not satisfied,Everyday,20 - 45 min,Use another train,Only on weekends,Train traffic,True,Positive,01/09/2019 @ 12:17 PM,online,Delays,Crime / Safety,Overcrowded trains
R,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,Train traffic,True,Positive,01/09/2019 @ 12:17 PM,online,Delays,Station infrastructure,Overcrowded trains
7,Everyday / Almost everyday,20 - 40 min,Not satisfied,Everyday,10 - 20 min,For-hire vehicle,All the time,Train traffic,True,Positive,01/09/2019 @ 12:17 PM,online,Delays,Frequent route changes,High fares
1,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,For-hire vehicle,All the time,Train traffic,True,Positive,01/09/2019 @ 12:18 PM,online,Delays,Frequent route changes,Overcrowded trains
1,"More than once a week, varies",20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,Sick passenger,False,Negative,01/09/2019 @ 12:19 PM,online,High fares,Station infrastructure,Lack of handicap access
D,Everyday / Almost everyday,< 20 min,Neutral,Everyday,10 - 20 min,Use another train,Only on weekends,Signal malfunction,False,Negative,01/09/2019 @ 12:19 PM,online,Delays,High fares,Crime / Safety
4,Everyday / Almost everyday,20 - 40 min,Highly unsatisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,No reason is given,False,Positive,01/09/2019 @ 12:19 PM,online,Frequent route changes,High fares,Overcrowded trains
1,"Weekdays, Mon - Fri",60 - 90 min,Highly unsatisfied,A few times a week,10 - 20 min,For-hire vehicle,All the time,Waiting for signal change,True,Positive,01/09/2019 @ 12:20 PM,online,Delays,Crime / Safety,Lack of handicap access
A,Everyday / Almost everyday,< 20 min,Highly unsatisfied,Everyday,5 - 10 min,For-hire vehicle,All the time,Train traffic,False,Positive,01/09/2019 @ 12:20 PM,online,Frequent route changes,Customer service,Overcrowded trains
1,Everyday / Almost everyday,< 20 min,Not satisfied,Rarely,5 - 10 min,For-hire vehicle,Only on weekends,Signal malfunction,True,Other / No thoughts,01/09/2019 @ 12:20 PM,online,Station infrastructure,Old trains,Overcrowded trains
6,~5 days per week,20 - 40 min,Neutral,Everyday,10 - 20 min,Wait for next train,Only on weekends,Train traffic,False,Positive,01/09/2019 @ 12:22 PM,online,Delays,Old trains,Overcrowded trains
F,Once a week,40 - 60 min,Highly unsatisfied,Everyday,,Wait for next train,Only on weekends,Train traffic,False,Negative,01/09/2019 @ 12:22 PM,online,High fares,Customer service,Lack of handicap access
D,Everyday / Almost everyday,20 - 40 min,Highly unsatisfied,A few times a week,10 - 20 min,For-hire vehicle,All the time,Signal malfunction,False,Positive,01/09/2019 @ 12:23 PM,online,Frequent route changes,Customer service,Station infrastructure
7,"Weekdays, Mon - Fri",20 - 40 min,Neutral,A few times a week,5 - 10 min,Use another train,Only at night,Train traffic,False,Positive,01/09/2019 @ 12:24 PM,online,Delays,Crime / Safety,Customer service
3,"Weekdays, Mon - Fri",20 - 40 min,Not satisfied,A few times a week,5 - 10 min,For-hire vehicle,Only on weekends,No reason is given,True,Positive,01/09/2019 @ 12:24 PM,online,Delays,Customer service,Station infrastructure
E,Everyday / Almost everyday,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,For-hire vehicle,Only on weekends,Train traffic,False,Positive,01/09/2019 @ 12:24 PM,online,Delays,Frequent route changes,High fares
2,"More than once a week, varies",40 - 60 min,Somewhat satisfied,,,,Only on weekends,Train traffic,True,Other / No thoughts,01/09/2019 @ 12:24 PM,online,Station infrastructure,Old trains,
1,~5 days per week,< 20 min,Not satisfied,Everyday,5 - 10 min,For-hire vehicle,Almost never,Waiting for signal change,False,Unaware,01/09/2019 @ 12:25 PM,online,High fares,Overcrowded trains,Lack of handicap access
1,Everyday / Almost everyday,90 min - 2 hours,Somewhat satisfied,Everyday,10 - 20 min,,Only on weekends,Waiting for signal change,True,Neutral,01/09/2019 @ 12:25 PM,online,Crime / Safety,Overcrowded trains,Lack of handicap access
1,Everyday / Almost everyday,< 20 min,Not satisfied,Everyday,10 - 20 min,Wait for next train,Only on weekends,Train traffic,False,Positive,01/09/2019 @ 12:26 PM,online,Delays,Frequent route changes,High fares
D,Everyday / Almost everyday,< 20 min,Somewhat satisfied,Rarely,10 - 20 min,For-hire vehicle,Only on weekends,Train traffic,True,Positive,01/09/2019 @ 12:26 PM,online,Delays,Frequent route changes,Station infrastructure
7,Everyday / Almost everyday,20 - 40 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,All the time,Signal malfunction,True,Negative,01/09/2019 @ 12:26 PM,online,Delays,Customer service,Overcrowded trains
J,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,Train traffic,True,Neutral,01/09/2019 @ 12:26 PM,online,Delays,Frequent route changes,Overcrowded trains
1,"More than once a week, varies",20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,Train traffic,False,Positive,01/09/2019 @ 12:26 PM,online,Delays,Station infrastructure,Lack of handicap access
2,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Only at night,Train traffic,True,Positive,01/09/2019 @ 12:27 PM,online,Delays,Crime / Safety,Station infrastructure
5,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,Everyday,20 - 45 min,Use another train,All the time,Signal malfunction,False,Positive,01/09/2019 @ 12:27 PM,online,Delays,Station infrastructure,Overcrowded trains
1,"Weekdays, Mon - Fri",40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Use another train,Only on weekends,Train traffic,False,Positive,01/09/2019 @ 12:28 PM,online,Delays,High fares,Overcrowded trains
1,~5 days per week,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,For-hire vehicle,Only on weekends,Signal malfunction,False,Negative,01/09/2019 @ 12:28 PM,online,High fares,Old trains,Overcrowded trains
C,~5 days per week,40 - 60 min,Somewhat satisfied,A few times a week,10 - 20 min,For-hire vehicle,All the time,Signal malfunction,True,Positive,01/09/2019 @ 12:28 PM,online,Delays,Frequent route changes,Station infrastructure
A,"Weekdays, Mon - Fri",40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,Train traffic,True,Neutral,01/09/2019 @ 12:29 PM,online,Delays,Overcrowded trains,Lack of handicap access
6,~5 days per week,20 - 40 min,Somewhat satisfied,Rarely,10 - 20 min,Wait for next train,Only on weekends,Train traffic,True,Positive,01/09/2019 @ 12:29 PM,online,High fares,Station infrastructure,Overcrowded trains
Q,Everyday / Almost everyday,20 - 40 min,Not satisfied,Everyday,5 - 10 min,Wait for next train,Almost never,Signal malfunction,False,Positive,01/09/2019 @ 12:29 PM,online,Frequent route changes,Station infrastructure,Lack of handicap access
2,Everyday / Almost everyday,60 - 90 min,Not satisfied,Everyday,10 - 20 min,Use another train,Only on weekends,Train traffic,False,Negative,01/09/2019 @ 12:29 PM,online,Delays,Frequent route changes,Lack of handicap access
7,"More than once a week, varies",20 - 40 min,Neutral,A few times a week,10 - 20 min,For-hire vehicle,All the time,Signal malfunction,True,Positive,01/09/2019 @ 12:29 PM,online,Delays,Overcrowded trains,Lack of handicap access
1,Everyday / Almost everyday,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,For-hire vehicle,Only at night,Waiting for signal change,False,Unaware,01/09/2019 @ 12:29 PM,online,Delays,Frequent route changes,Crime / Safety
A,Everyday / Almost everyday,40 - 60 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,Train traffic,True,Positive,01/09/2019 @ 12:30 PM,online,Delays,High fares,Lack of handicap access
1,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,Signal malfunction,True,Negative,01/09/2019 @ 12:30 PM,online,High fares,Crime / Safety,Overcrowded trains
1,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,Train traffic,True,Neutral,01/09/2019 @ 12:31 PM,online,Delays,Frequent route changes,Overcrowded trains
E,"Weekdays, Mon - Fri",< 20 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,All the time,Signal malfunction,False,Positive,01/09/2019 @ 12:31 PM,online,Delays,Frequent route changes,Overcrowded trains
F,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Use another train,Only on weekends,No reason is given,False,Negative,01/09/2019 @ 12:31 PM,online,High fares,Crime / Safety,Overcrowded trains
B,"Weekdays, Mon - Fri",40 - 60 min,Not satisfied,Everyday,10 - 20 min,Use another train,Only on weekends,Police incident,True,Positive,01/09/2019 @ 12:31 PM,online,Delays,High fares,Customer service
E,~5 days per week,,Highly unsatisfied,Everyday,10 - 20 min,Use another train,Only on weekends,Police incident,False,Positive,01/09/2019 @ 12:31 PM,online,High fares,Station infrastructure,Overcrowded trains
1,Almost never,20 - 40 min,Neutral,A few times a week,45 - 60 min,Take a bus,Only on weekends,,False,Negative,01/09/2019 @ 12:32 PM,online,Delays,High fares,Overcrowded trains
F,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,Almost never,Train traffic,True,Positive,01/09/2019 @ 12:32 PM,online,Delays,High fares,Overcrowded trains
R,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,Everyday,5 - 10 min,Use another train,All the time,Train traffic,False,Positive,01/09/2019 @ 12:32 PM,online,Delays,Customer service,Overcrowded trains
1,Everyday / Almost everyday,< 20 min,Somewhat satisfied,Rarely,10 - 20 min,Wait for next train,Only on weekends,Signal malfunction,True,Other / No thoughts,01/09/2019 @ 12:32 PM,online,Delays,Station infrastructure,Overcrowded trains
E,~5 days per week,,Not satisfied,A few times a week,10 - 20 min,,All the time,Train traffic,False,Positive,01/09/2019 @ 12:32 PM,online,,,
1,Everyday / Almost everyday,< 20 min,Somewhat satisfied,Rarely,5 - 10 min,Use another train,Only on weekends,Train traffic,False,Negative,01/09/2019 @ 12:33 PM,online,Frequent route changes,High fares,Station infrastructure
A,~5 days per week,20 - 40 min,Neutral,A few times a week,10 - 20 min,Wait for next train,Only on weekends,No reason is given,False,Negative,01/09/2019 @ 12:33 PM,online,Delays,High fares,Crime / Safety
Q,Everyday / Almost everyday,40 - 60 min,Neutral,A few times a week,10 - 20 min,Use another train,All the time,Train traffic,False,Positive,01/09/2019 @ 12:33 PM,online,High fares,Station infrastructure,Lack of handicap access
1,Everyday / Almost everyday,40 - 60 min,Neutral,Everyday,10 - 20 min,Wait for next train,Only on weekends,Signal malfunction,True,Other / No thoughts,01/09/2019 @ 12:33 PM,online,Delays,Station infrastructure,Overcrowded trains
1,"More than once a week, varies",20 - 40 min,Somewhat satisfied,Rarely,5 - 10 min,Use another train,Only on weekends,Waiting for signal change,True,Positive,01/09/2019 @ 12:33 PM,online,Customer service,Overcrowded trains,Lack of handicap access
1,~5 days per week,20 - 40 min,Neutral,Rarely,10 - 20 min,Wait for next train,Only on weekends,Signal malfunction,False,Positive,01/09/2019 @ 12:33 PM,online,Lack of handicap access,,
6,Everyday / Almost everyday,,Neutral,A few times a week,10 - 20 min,For-hire vehicle,All the time,Signal malfunction,True,Positive,01/09/2019 @ 12:33 PM,online,Delays,Crime / Safety,Overcrowded trains
D,~5 days per week,40 - 60 min,Highly unsatisfied,A few times a week,10 - 20 min,Use another train,All the time,Train traffic,False,Positive,01/09/2019 @ 12:34 PM,online,Delays,Frequent route changes,Overcrowded trains
A,Everyday / Almost everyday,40 - 60 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,Train traffic,True,Unaware,01/09/2019 @ 12:34 PM,online,Delays,Frequent route changes,Overcrowded trains
6,"More than once a week, varies",< 20 min,Somewhat satisfied,A few times a week,5 - 10 min,Walk,Almost never,Sick passenger,True,Unaware,01/09/2019 @ 12:34 PM,online,High fares,Station infrastructure,Overcrowded trains
1,Everyday / Almost everyday,40 - 60 min,Not satisfied,Everyday,10 - 20 min,Use another train,All the time,Train traffic,False,Positive,01/09/2019 @ 12:34 PM,online,Delays,High fares,Station infrastructure
Q,"Weekdays, Mon - Fri",40 - 60 min,Highly unsatisfied,A few times a week,20 - 45 min,Use another train,All the time,Signal malfunction,False,Positive,01/09/2019 @ 12:35 PM,online,Delays,Frequent route changes,High fares
4,Everyday / Almost everyday,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,Train traffic,True,Neutral,01/09/2019 @ 12:35 PM,online,Delays,Customer service,Overcrowded trains
7,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,Signal malfunction,True,Positive,01/09/2019 @ 12:35 PM,online,Delays,Overcrowded trains,Lack of handicap access
